LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 07000877	1	AileensGen_AileenHit_00000877_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_00000877_1.xwm	File Not Found				No!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 07000878	1	AileensGen_AileenHit_00000878_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_00000878_1.xwm	File Not Found				That Hurt!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 07000879	1	AileensGen_AileenHit_00000879_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_00000879_1.xwm	File Not Found				Get back!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 0700087A	1	AileensGen_AileenHit_0000087A_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_0000087A_1.xwm	File Not Found				I felt that!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 0700087B	1	AileensGen_AileenHit_0000087B_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_0000087B_1.xwm	File Not Found				That was too close for comfort!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 0700087C	1	AileensGen_AileenHit_0000087C_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_0000087C_1.xwm	File Not Found				Still standing!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 0700087D	1	AileensGen_AileenHit_0000087D_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_0000087D_1.xwm	File Not Found				Nearly had me!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 0700086B	1	AileensGen_AileenAttack_0000086B_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_0000086B_1.xwm	File Not Found				Stay back!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 0700086C	1	AileensGen_AileenAttack_0000086C_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_0000086C_1.xwm	File Not Found				Don't make me hurt you!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 0700086D	1	AileensGen_AileenAttack_0000086D_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_0000086D_1.xwm	File Not Found				Leave me alone!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 0700086E	1	AileensGen_AileenAttack_0000086E_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_0000086E_1.xwm	File Not Found				Stop this nonsense!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 0700086F	1	AileensGen_AileenAttack_0000086F_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_0000086F_1.xwm	File Not Found				Trying to give you a chance!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 07000870	1	AileensGen_AileenAttack_00000870_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_00000870_1.xwm	File Not Found				You chose this!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 07000871	1	AileensGen_AileenAttack_00000871_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_00000871_1.xwm	File Not Found				Don't have to keep fighting!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 07000872	1	AileensGen_AileenAttack_00000872_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_00000872_1.xwm	File Not Found				You were warned.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 07000873	1	AileensGen_AileenAttack_00000873_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_00000873_1.xwm	File Not Found				I can defend myself.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Attack	AileenAttack	FormID 07000874	1	AileensGen_AileenAttack_00000874_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAttack_00000874_1.xwm	File Not Found				Stay down!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000862	1	AileensGen_AileenMoralRefu_00000862_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000862_1.xwm	File Not Found				No. I will not do that.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000863	1	AileensGen_AileenMoralRefu_00000863_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000863_1.xwm	File Not Found				There has to be another way.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000864	1	AileensGen_AileenMoralRefu_00000864_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000864_1.xwm	File Not Found				You'll have to do that on your own.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000865	1	AileensGen_AileenMoralRefu_00000865_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000865_1.xwm	File Not Found				I'm sorry. That isn't okay with me.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000866	1	AileensGen_AileenMoralRefu_00000866_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000866_1.xwm	File Not Found				Some things should be left untouched.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000867	1	AileensGen_AileenMoralRefu_00000867_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000867_1.xwm	File Not Found				Don't ask me again.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	MoralRefusal	AileenMoralRefuse	FormID 07000868	1	AileensGen_AileenMoralRefu_00000868_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenMoralRefu_00000868_1.xwm	File Not Found				I won't help you with that.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 0700085A	1	AileensGen_AileenExitFavor_0000085A_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_0000085A_1.xwm	File Not Found				Whas that everything?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 0700085B	1	AileensGen_AileenExitFavor_0000085B_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_0000085B_1.xwm	File Not Found				Alright, I'm done.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 0700085C	1	AileensGen_AileenExitFavor_0000085C_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_0000085C_1.xwm	File Not Found				What should we do now?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 0700085D	1	AileensGen_AileenExitFavor_0000085D_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_0000085D_1.xwm	File Not Found				Let me know if you need anything else.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 0700085E	1	AileensGen_AileenExitFavor_0000085E_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_0000085E_1.xwm	File Not Found				Hope I did that right.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 0700085F	1	AileensGen_AileenExitFavor_0000085F_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_0000085F_1.xwm	File Not Found				There we go.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	ExitFavorState	AileenExitFavorState	FormID 07000860	1	AileensGen_AileenExitFavor_00000860_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenExitFavor_00000860_1.xwm	File Not Found				That's done now.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000851	1	AileensGen_AileenRefuse_00000851_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000851_1.xwm	File Not Found				I'm sorry, I can't.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000852	1	AileensGen_AileenRefuse_00000852_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000852_1.xwm	File Not Found				I don't think I know how.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000853	1	AileensGen_AileenRefuse_00000853_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000853_1.xwm	File Not Found				That isn't something I can do.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000854	1	AileensGen_AileenRefuse_00000854_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000854_1.xwm	File Not Found				Maybe you should try instead.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000855	1	AileensGen_AileenRefuse_00000855_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000855_1.xwm	File Not Found				Sorry, I don't think that will work.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000856	1	AileensGen_AileenRefuse_00000856_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000856_1.xwm	File Not Found				I don't understand why you want me to do that.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000857	1	AileensGen_AileenRefuse_00000857_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000857_1.xwm	File Not Found				No. I don't think that's happening.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Refuse	AileenRefuse	FormID 07000858	1	AileensGen_AileenRefuse_00000858_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenRefuse_00000858_1.xwm	File Not Found				I'll try something else.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Agree	AileenAgree	FormID 07000846	1	AileensGen_AileenAgree_00000846_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAgree_00000846_1.xwm	File Not Found				Of course.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Agree	AileenAgree	FormID 07000847	1	AileensGen_AileenAgree_00000847_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAgree_00000847_1.xwm	File Not Found				I'll try to.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Agree	AileenAgree	FormID 07000848	1	AileensGen_AileenAgree_00000848_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAgree_00000848_1.xwm	File Not Found				Give me a moment.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Agree	AileenAgree	FormID 07000849	1	AileensGen_AileenAgree_00000849_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAgree_00000849_1.xwm	File Not Found				I can do that, sure.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Agree	AileenAgree	FormID 0700084A	1	AileensGen_AileenAgree_0000084A_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAgree_0000084A_1.xwm	File Not Found				That seems simple enough.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Agree	AileenAgree	FormID 0700084B	1	AileensGen_AileenAgree_0000084B_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenAgree_0000084B_1.xwm	File Not Found				Alright!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 0700083E	1	AileensGen_AileenShow_0000083E_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_0000083E_1.xwm	File Not Found				What is it?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 0700083F	1	AileensGen_AileenShow_0000083F_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_0000083F_1.xwm	File Not Found				What am I looking for?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 07000840	1	AileensGen_AileenShow_00000840_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_00000840_1.xwm	File Not Found				Is it something nearby?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 07000841	1	AileensGen_AileenShow_00000841_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_00000841_1.xwm	File Not Found				I'm listening.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 07000842	1	AileensGen_AileenShow_00000842_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_00000842_1.xwm	File Not Found				Alright, show me.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 07000843	1	AileensGen_AileenShow_00000843_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_00000843_1.xwm	File Not Found				Point it out for me.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Favors	Favors	Show	AileenShow	FormID 07000844	1	AileensGen_AileenShow_00000844_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenShow_00000844_1.xwm	File Not Found				What would you like me to do?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Detection	Detection	DetectFriendDie	AileenDetectFriendDie	FormID 07000928	1	AileensGen_AileenDetectFri_00000928_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDetectFri_00000928_1.xwm	File Not Found				What the hell happened?!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Detection	Detection	DetectFriendDie	AileenDetectFriendDie	FormID 07000929	1	AileensGen_AileenDetectFri_00000929_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDetectFri_00000929_1.xwm	File Not Found				We're not alone!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Detection	Detection	DetectFriendDie	AileenDetectFriendDie	FormID 0700092A	1	AileensGen_AileenDetectFri_0000092A_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDetectFri_0000092A_1.xwm	File Not Found				Oh my god, no!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Detection	Detection	DetectFriendDie	AileenDetectFriendDie	FormID 0700092B	1	AileensGen_AileenDetectFri_0000092B_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDetectFri_0000092B_1.xwm	File Not Found				God DAMMIT, where are they?!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Detection	Detection	DetectFriendDie	AileenDetectFriendDie	FormID 0700092C	1	AileensGen_AileenDetectFri_0000092C_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDetectFri_0000092C_1.xwm	File Not Found				You can't just kill someone and get away with it!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Detection	Detection	DetectFriendDie	AileenDetectFriendDie	FormID 0700092D	1	AileensGen_AileenDetectFri_0000092D_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDetectFri_0000092D_1.xwm	File Not Found				They were alive a moment ago!	Neutral 50			
